tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.8	318.2	77.8	PF18-100a_LP-DIR-T	hargrave 2021-04-08 14:52:30	4.02e-07	2.8600000000000005e-09	4.27e-09	1.87e-09	8	273	PF18-100a_LP-DIR-T-1	LT-NO:LP-DIR-T	g	1	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	0	273.0
	This study		0.9	317.8	77.7	PF18-100a_LP-DIR-T	hargrave 2021-04-09 14:13:54	4e-07	5.98e-09	1.71e-09	1.49e-09	8	273	PF18-100a_LP-DIR-T-2	LT-T-Z:LP-DIR-T	g	2	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	1	323.0
	This study		0.7	317.2	76.7	PF18-100a_LP-DIR-T	hargrave 2021-04-10 14:41:19	3.83e-07	3.4899999999999997e-09	3.03e-09	1.56e-09	8	273	PF18-100a_LP-DIR-T-3	LT-T-Z:LP-DIR-T	g	3	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	2	373.0
	This study		0.9	312.3	73.1	PF18-100a_LP-DIR-T	hargrave 2021-04-11 13:14:41	3.35e-07	1.6899999999999997e-09	4.5799999999999995e-09	1.84e-09	8	273	PF18-100a_LP-DIR-T-4	LT-T-Z:LP-DIR-T	g	4	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	3	423.0
	This study		0.9	309.5	71.4	PF18-100a_LP-DIR-T	hargrave 2021-04-13 16:13:05	3.2299999999999997e-07	2.9399999999999998e-09	3.5399999999999998e-09	1.89e-09	8	273	PF18-100a_LP-DIR-T-5	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	4	473.0
	This study		1.1	304.8	70.1	PF18-100a_LP-DIR-T	hargrave 2021-04-18 15:03:48	3.12e-07	1.3900000000000002e-09	5.3e-09	1.82e-09	8	273	PF18-100a_LP-DIR-T-6	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	5	523.0
	This study		0.8	302.8	69.6	PF18-100a_LP-DIR-T	hargrave 2021-04-19 15:24:26	2.9199999999999997e-07	2.0300000000000002e-09	2.92e-09	1.94e-09	8	273	PF18-100a_LP-DIR-T-7	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	6	573.0
	This study		1.5	303.0	68.8	PF18-100a_LP-DIR-T	hargrave 2021-04-20 13:50:38	2.69e-07	6.820000000000001e-09	1.61e-09	1.51e-09	8	273	PF18-100a_LP-DIR-T-8	LT-T-Z:LP-DIR-T	g	8	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	7	598.0
	This study		1.0	300.8	68.2	PF18-100a_LP-DIR-T	hargrave 2021-04-23 13:28:21	2.5399999999999997e-07	3.87e-09	1.54e-09	1.4699999999999999e-09	8	273	PF18-100a_LP-DIR-T-9	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	8	623.0
	This study		0.9	298.6	67.8	PF18-100a_LP-DIR-T	hargrave 2021-04-25 10:31:18	2.35e-07	3e-09	1.65e-09	1.22e-09	8	273	PF18-100a_LP-DIR-T-10	LT-T-Z:LP-DIR-T	g	10	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	9	648.0
	This study		1.0	300.8	67.5	PF18-100a_LP-DIR-T	hargrave 2021-04-26 09:35:02	1.93e-07	2.7100000000000004e-09	1.23e-09	1.24e-09	8	273	PF18-100a_LP-DIR-T-11	LT-T-Z:LP-DIR-T	g	11	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	10	688.0
	This study		1.2	290.0	66.0	PF18-100a_LP-DIR-T	hargrave 2021-04-27 14:18:09	1.75e-07	3.4799999999999996e-09	1.1199999999999999e-09	1.0300000000000002e-09	8	273	PF18-100a_LP-DIR-T-12	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	11	723.0
	This study		1.2	292.2	65.6	PF18-100a_LP-DIR-T	hargrave 2021-04-29 15:07:04	1.66e-07	3.03e-09	1.36e-09	1.14e-09	8	273	PF18-100a_LP-DIR-T-13	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.2.24-1	PF18-100a	u	0	0	0.0	0.0	12	748.0
