tab	measurements																									
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
PF18-100a_LP-DIR-T-1	PF18-100a_LP-DIR-T	PF18-100a	0.8	318.2	77.8	0	0	0	0	0	273	This study	hargrave 2021-04-08 14:52:30	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.24-1	4.02E-07	2.86E-09	4.27E-09	1.87E-09
PF18-100a_LP-DIR-T-2	PF18-100a_LP-DIR-T	PF18-100a	0.9	317.8	77.7	0	0	0	0	1	323	This study	hargrave 2021-04-09 14:13:54	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.24-1	4.00E-07	5.98E-09	1.71E-09	1.49E-09
PF18-100a_LP-DIR-T-3	PF18-100a_LP-DIR-T	PF18-100a	0.7	317.2	76.7	0	0	0	0	2	373	This study	hargrave 2021-04-10 14:41:19	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.24-1	3.83E-07	3.49E-09	3.03E-09	1.56E-09
PF18-100a_LP-DIR-T-4	PF18-100a_LP-DIR-T	PF18-100a	0.9	312.3	73.1	0	0	0	0	3	423	This study	hargrave 2021-04-11 13:14:41	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.24-1	3.35E-07	1.69E-09	4.58E-09	1.84E-09
PF18-100a_LP-DIR-T-5	PF18-100a_LP-DIR-T	PF18-100a	0.9	309.5	71.4	0	0	0	0	4	473	This study	hargrave 2021-04-13 16:13:05	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.24-1	3.23E-07	2.94E-09	3.54E-09	1.89E-09
PF18-100a_LP-DIR-T-6	PF18-100a_LP-DIR-T	PF18-100a	1.1	304.8	70.1	0	0	0	0	5	523	This study	hargrave 2021-04-18 15:03:48	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.24-1	3.12E-07	1.39E-09	5.30E-09	1.82E-09
PF18-100a_LP-DIR-T-7	PF18-100a_LP-DIR-T	PF18-100a	0.8	302.8	69.6	0	0	0	0	6	573	This study	hargrave 2021-04-19 15:24:26	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.24-1	2.92E-07	2.03E-09	2.92E-09	1.94E-09
PF18-100a_LP-DIR-T-8	PF18-100a_LP-DIR-T	PF18-100a	1.5	303	68.8	0	0	0	0	7	598	This study	hargrave 2021-04-20 13:50:38	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.24-1	2.69E-07	6.82E-09	1.61E-09	1.51E-09
PF18-100a_LP-DIR-T-9	PF18-100a_LP-DIR-T	PF18-100a	1	300.8	68.2	0	0	0	0	8	623	This study	hargrave 2021-04-23 13:28:21	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.24-1	2.54E-07	3.87E-09	1.54E-09	1.47E-09
PF18-100a_LP-DIR-T-10	PF18-100a_LP-DIR-T	PF18-100a	0.9	298.6	67.8	0	0	0	0	9	648	This study	hargrave 2021-04-25 10:31:18	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.24-1	2.35E-07	3.00E-09	1.65E-09	1.22E-09
PF18-100a_LP-DIR-T-11	PF18-100a_LP-DIR-T	PF18-100a	1	300.8	67.5	0	0	0	0	10	688	This study	hargrave 2021-04-26 09:35:02	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.24-1	1.93E-07	2.71E-09	1.23E-09	1.24E-09
